Epoch: [1][1/179]	Time 1.072 (1.072)	Data 0.887 (0.887)	Loss 1.0171 (1.0171)	MAE 0.932 (0.932)
Epoch: [1][2/179]	Time 0.153 (0.612)	Data 0.000 (0.444)	Loss 6.4650 (3.7410)	MAE 2.594 (1.763)
Epoch: [1][3/179]	Time 0.154 (0.459)	Data 0.000 (0.296)	Loss 25.8525 (11.1115)	MAE 5.643 (3.056)
Epoch: [1][4/179]	Time 0.159 (0.384)	Data 0.006 (0.223)	Loss 4.0803 (9.3537)	MAE 2.205 (2.844)
Epoch: [1][5/179]	Time 0.239 (0.355)	Data 0.058 (0.190)	Loss 5.0491 (8.4928)	MAE 2.318 (2.738)
Epoch: [1][6/179]	Time 0.138 (0.319)	Data 0.000 (0.159)	Loss 3.5429 (7.6678)	MAE 1.833 (2.588)
Epoch: [1][7/179]	Time 0.148 (0.295)	Data 0.000 (0.136)	Loss 0.8076 (6.6878)	MAE 0.860 (2.341)
Epoch: [1][8/179]	Time 0.147 (0.276)	Data 0.007 (0.120)	Loss 1.3893 (6.0255)	MAE 1.234 (2.202)
Epoch: [1][9/179]	Time 0.165 (0.264)	Data 0.018 (0.109)	Loss 0.8642 (5.4520)	MAE 0.840 (2.051)
Epoch: [1][10/179]	Time 0.183 (0.256)	Data 0.000 (0.098)	Loss 2.2992 (5.1367)	MAE 1.516 (1.998)
Epoch: [1][11/179]	Time 0.126 (0.244)	Data 0.000 (0.089)	Loss 0.9312 (4.7544)	MAE 0.877 (1.896)
Epoch: [1][12/179]	Time 0.197 (0.240)	Data 0.006 (0.082)	Loss 0.8211 (4.4266)	MAE 0.845 (1.808)
Epoch: [1][13/179]	Time 0.278 (0.243)	Data 0.060 (0.080)	Loss 1.1213 (4.1724)	MAE 1.020 (1.748)
Epoch: [1][14/179]	Time 0.144 (0.236)	Data 0.000 (0.075)	Loss 0.9591 (3.9429)	MAE 1.008 (1.695)
Epoch: [1][15/179]	Time 0.142 (0.230)	Data 0.000 (0.070)	Loss 1.3581 (3.7705)	MAE 1.152 (1.659)
Epoch: [1][16/179]	Time 0.180 (0.227)	Data 0.007 (0.066)	Loss 1.3057 (3.6165)	MAE 1.087 (1.623)
Epoch: [1][17/179]	Time 0.284 (0.230)	Data 0.071 (0.066)	Loss 0.9050 (3.4570)	MAE 0.876 (1.579)
Epoch: [1][18/179]	Time 0.218 (0.229)	Data 0.000 (0.062)	Loss 0.6222 (3.2995)	MAE 0.709 (1.531)
Epoch: [1][19/179]	Time 0.184 (0.227)	Data 0.000 (0.059)	Loss 0.9676 (3.1768)	MAE 0.860 (1.495)
Epoch: [1][20/179]	Time 0.152 (0.223)	Data 0.006 (0.056)	Loss 1.8819 (3.1120)	MAE 1.195 (1.480)
Epoch: [1][21/179]	Time 0.156 (0.220)	Data 0.021 (0.055)	Loss 0.9537 (3.0092)	MAE 0.916 (1.453)
Epoch: [1][22/179]	Time 0.146 (0.217)	Data 0.000 (0.052)	Loss 0.9055 (2.9136)	MAE 0.756 (1.422)
Epoch: [1][23/179]	Time 0.126 (0.213)	Data 0.000 (0.050)	Loss 0.8477 (2.8238)	MAE 0.891 (1.399)
Epoch: [1][24/179]	Time 0.136 (0.209)	Data 0.006 (0.048)	Loss 1.4008 (2.7645)	MAE 1.194 (1.390)
Epoch: [1][25/179]	Time 0.318 (0.214)	Data 0.153 (0.052)	Loss 0.7893 (2.6855)	MAE 0.886 (1.370)
Epoch: [1][26/179]	Time 0.148 (0.211)	Data 0.006 (0.051)	Loss 0.9444 (2.6185)	MAE 0.922 (1.353)
Epoch: [1][27/179]	Time 0.144 (0.209)	Data 0.000 (0.049)	Loss 1.2313 (2.5672)	MAE 1.099 (1.343)
Epoch: [1][28/179]	Time 0.129 (0.206)	Data 0.006 (0.047)	Loss 1.3240 (2.5228)	MAE 1.063 (1.333)
Epoch: [1][29/179]	Time 0.424 (0.213)	Data 0.278 (0.055)	Loss 0.8197 (2.4640)	MAE 0.881 (1.318)
