Epoch: [1][1/1019]	Time 5.158 (5.158)	Data 4.499 (4.499)	Loss 0.9585 (0.9585)	MAE 0.922 (0.922)
Epoch: [1][2/1019]	Time 0.527 (2.842)	Data 0.001 (2.250)	Loss 1.5226 (1.2405)	MAE 1.189 (1.056)
Epoch: [1][3/1019]	Time 0.512 (2.066)	Data 0.001 (1.500)	Loss 2.9084 (1.7965)	MAE 1.725 (1.279)
Epoch: [1][4/1019]	Time 0.613 (1.702)	Data 0.001 (1.125)	Loss 5.4735 (2.7157)	MAE 2.497 (1.583)
Epoch: [1][5/1019]	Time 1.987 (1.759)	Data 1.552 (1.211)	Loss 3.7913 (2.9308)	MAE 2.059 (1.679)
Epoch: [1][6/1019]	Time 0.631 (1.571)	Data 0.022 (1.013)	Loss 0.9663 (2.6034)	MAE 0.938 (1.555)
Epoch: [1][7/1019]	Time 0.499 (1.418)	Data 0.021 (0.871)	Loss 1.0826 (2.3862)	MAE 1.100 (1.490)
Epoch: [1][8/1019]	Time 0.490 (1.302)	Data 0.001 (0.762)	Loss 0.8982 (2.2002)	MAE 0.921 (1.419)
Epoch: [1][9/1019]	Time 2.299 (1.413)	Data 1.931 (0.892)	Loss 1.2114 (2.0903)	MAE 1.018 (1.375)
Epoch: [1][10/1019]	Time 0.380 (1.310)	Data 0.001 (0.803)	Loss 0.7998 (1.9612)	MAE 0.802 (1.317)
Epoch: [1][11/1019]	Time 0.599 (1.245)	Data 0.001 (0.730)	Loss 0.8233 (1.8578)	MAE 0.770 (1.268)
Epoch: [1][12/1019]	Time 0.538 (1.186)	Data 0.001 (0.669)	Loss 1.9299 (1.8638)	MAE 1.397 (1.278)
Epoch: [1][13/1019]	Time 2.846 (1.314)	Data 2.423 (0.804)	Loss 1.0886 (1.8042)	MAE 1.030 (1.259)
Epoch: [1][14/1019]	Time 0.570 (1.261)	Data 0.022 (0.748)	Loss 0.7151 (1.7264)	MAE 0.812 (1.227)
Epoch: [1][15/1019]	Time 0.374 (1.201)	Data 0.001 (0.699)	Loss 0.9152 (1.6723)	MAE 0.956 (1.209)
Epoch: [1][16/1019]	Time 0.552 (1.161)	Data 0.001 (0.655)	Loss 1.3698 (1.6534)	MAE 1.166 (1.206)
Epoch: [1][17/1019]	Time 2.782 (1.256)	Data 2.441 (0.760)	Loss 0.9111 (1.6097)	MAE 0.950 (1.191)
Epoch: [1][18/1019]	Time 0.530 (1.216)	Data 0.022 (0.719)	Loss 0.7329 (1.5610)	MAE 0.843 (1.172)
Epoch: [1][19/1019]	Time 0.622 (1.185)	Data 0.001 (0.681)	Loss 0.6059 (1.5107)	MAE 0.713 (1.148)
Epoch: [1][20/1019]	Time 0.518 (1.151)	Data 0.001 (0.647)	Loss 0.7965 (1.4750)	MAE 0.865 (1.134)
Epoch: [1][21/1019]	Time 3.069 (1.243)	Data 2.591 (0.740)	Loss 0.4595 (1.4267)	MAE 0.657 (1.111)
Epoch: [1][22/1019]	Time 0.610 (1.214)	Data 0.001 (0.706)	Loss 0.5594 (1.3873)	MAE 0.700 (1.092)
Epoch: [1][23/1019]	Time 0.584 (1.187)	Data 0.001 (0.675)	Loss 0.7285 (1.3586)	MAE 0.760 (1.078)
