Epoch: [1][1/179]	Time 4.980 (4.980)	Data 4.781 (4.781)	Loss 1.5745 (1.5745)	MAE 1.080 (1.080)
Epoch: [1][2/179]	Time 0.123 (2.552)	Data 0.000 (2.391)	Loss 4.3840 (2.9792)	MAE 2.106 (1.593)
Epoch: [1][3/179]	Time 0.158 (1.754)	Data 0.000 (1.594)	Loss 7.0521 (4.3368)	MAE 2.761 (1.982)
Epoch: [1][4/179]	Time 0.134 (1.349)	Data 0.000 (1.196)	Loss 3.3492 (4.0899)	MAE 1.818 (1.941)
Epoch: [1][5/179]	Time 1.350 (1.349)	Data 1.183 (1.193)	Loss 2.3970 (3.7514)	MAE 1.459 (1.845)
Epoch: [1][6/179]	Time 0.129 (1.146)	Data 0.000 (0.994)	Loss 0.5278 (3.2141)	MAE 0.739 (1.660)
Epoch: [1][7/179]	Time 0.165 (1.006)	Data 0.007 (0.853)	Loss 1.3408 (2.9465)	MAE 1.114 (1.582)
Epoch: [1][8/179]	Time 0.092 (0.891)	Data 0.000 (0.747)	Loss 1.1712 (2.7246)	MAE 0.924 (1.500)
Epoch: [1][9/179]	Time 1.025 (0.906)	Data 0.880 (0.761)	Loss 1.4904 (2.5874)	MAE 1.152 (1.461)
Epoch: [1][10/179]	Time 0.201 (0.836)	Data 0.007 (0.686)	Loss 1.0480 (2.4335)	MAE 0.963 (1.412)
Epoch: [1][11/179]	Time 0.166 (0.775)	Data 0.006 (0.624)	Loss 0.5150 (2.2591)	MAE 0.641 (1.342)
Epoch: [1][12/179]	Time 0.119 (0.720)	Data 0.000 (0.572)	Loss 0.9408 (2.1492)	MAE 0.896 (1.304)
Epoch: [1][13/179]	Time 0.794 (0.726)	Data 0.644 (0.578)	Loss 1.0954 (2.0682)	MAE 0.988 (1.280)
Epoch: [1][14/179]	Time 0.235 (0.691)	Data 0.036 (0.539)	Loss 0.4710 (1.9541)	MAE 0.543 (1.228)
Epoch: [1][15/179]	Time 0.239 (0.661)	Data 0.035 (0.505)	Loss 1.3061 (1.9109)	MAE 1.077 (1.218)
Epoch: [1][16/179]	Time 0.126 (0.627)	Data 0.000 (0.474)	Loss 1.1228 (1.8616)	MAE 1.010 (1.205)
Epoch: [1][17/179]	Time 0.502 (0.620)	Data 0.333 (0.465)	Loss 0.3835 (1.7747)	MAE 0.564 (1.167)
